subject,blockcode,trialcode,trialnum,response,latency,stimulusitem3,stimulusitem4,stimulusitem5,stimulusitem6,stimulusitem8,values.gridface1_zscore,values.gridface2_zscore,values.gridface3_zscore,values.gridface4_zscore,values.compareface_zscore,values.trial_retry,values.nTrials,avg_grid,avg_compare,correct_resp,correct_num,easiness
474143404,gridcompare_block,gridcompare_trial,30,50,1338,CFD-WM-204-N-crop.jpg,CFD-WM-243-N-crop.jpg,CFD-WM-221-N-crop.jpg,CFD-WM-207-N-crop.jpg,CFD-WM-032-N-crop.jpg,0.168408437,-1.919286104,1.021868469,0.36536075,1.044506665,0,100,-0.090912112,1.044506665,50,1,1.135418777
474143404,gridcompare_block,gridcompare_trial,31,50,1318,CFD-WM-233-N-crop.jpg,CFD-WM-032-N-crop.jpg,CFD-WM-258-N-crop.jpg,CFD-WM-256-N-crop.jpg,CFD-WM-013-N-crop.jpg,-0.619400824,1.044506665,0.36536075,-0.619400824,-0.00106216,0,100,0.042766442,-0.00106216,38,0,0.043828601
474143404,gridcompare_block,gridcompare_trial,32,50,1227,CFD-WM-232-N-crop.jpg,CFD-WM-219-N-crop.jpg,CFD-WM-020-N-crop.jpg,CFD-WM-201-N-crop.jpg,CFD-WM-039-N-crop.jpg,-1.27590854,0.119170357,-0.417972321,-0.234059337,-0.549888242,0,100,-0.45219246,-0.549888242,38,0,0.097695781
474143404,gridcompare_block,gridcompare_trial,33,50,963,CFD-WM-254-N-crop.jpg,CFD-WM-250-N-crop.jpg,CFD-WM-257-N-crop.jpg,CFD-WM-238-N-crop.jpg,CFD-WM-031-N-crop.jpg,0.06235719,0.444141677,2.10763123,-0.619400824,0.53514723,0,100,0.498682318,0.53514723,50,1,0.036464912
474143404,gridcompare_block,gridcompare_trial,34,38,759,CFD-WM-204-N-crop.jpg,CFD-WM-201-N-crop.jpg,CFD-WM-231-N-crop.jpg,CFD-WM-039-N-crop.jpg,CFD-WM-025-N-crop.jpg,0.168408437,-0.234059337,0.195574272,-0.549888242,0.824170122,0,100,-0.104991218,0.824170122,50,0,0.92916134
474143404,gridcompare_block,gridcompare_trial,35,38,994,CFD-WM-247-N-crop.jpg,CFD-WM-227-N-crop.jpg,CFD-WM-245-N-crop.jpg,CFD-WM-234-N-crop.jpg,CFD-WM-214-N-crop.jpg,0.06235719,-0.3625065,-1.12876026,-1.026888371,1.507684178,0,100,-0.613949485,1.507684178,50,0,2.121633663
474143404,gridcompare_block,gridcompare_trial,36,38,1628,CFD-WM-236-N-crop.jpg,CFD-WM-205-N-crop.jpg,CFD-WM-206-N-crop.jpg,CFD-WM-006-N-crop.jpg,CFD-WM-038-N-crop.jpg,-0.619400824,-0.501229435,0.142995233,0.65162865,-0.718983455,0,100,-0.081501594,-0.718983455,38,1,0.637481861
474143404,gridcompare_block,gridcompare_trial,37,50,1877,CFD-WM-232-N-crop.jpg,CFD-WM-210-N-crop.jpg,CFD-WM-004-N-crop.jpg,CFD-WM-239-N-crop.jpg,CFD-WM-234-N-crop.jpg,-1.27590854,0.330190693,1.036297207,0.224680527,-1.026888371,0,100,0.078814972,-1.026888371,38,0,1.105703343
474143404,gridcompare_block,gridcompare_trial,38,50,1187,CFD-WM-219-N-crop.jpg,CFD-WM-207-N-crop.jpg,CFD-WM-211-N-crop.jpg,CFD-WM-245-N-crop.jpg,CFD-WM-204-N-crop.jpg,0.119170357,0.36536075,-0.110041389,-1.12876026,0.168408437,0,100,-0.188567636,0.168408437,50,1,0.356976072
474143404,gridcompare_block,gridcompare_trial,39,38,950,CFD-WM-215-N-crop.jpg,CFD-WM-244-N-crop.jpg,CFD-WM-239-N-crop.jpg,CFD-WM-255-N-crop.jpg,CFD-WM-220-N-crop.jpg,-0.302870319,-0.947654682,0.224680527,-0.93593133,-2.151252165,0,100,-0.490443951,-2.151252165,38,1,1.660808214
474143404,gridcompare_block,gridcompare_trial,40,38,1841,CFD-WM-031-N-crop.jpg,CFD-WM-258-N-crop.jpg,CFD-WM-202-N-crop.jpg,CFD-WM-210-N-crop.jpg,CFD-WM-036-N-crop.jpg,0.53514723,0.36536075,1.653125887,0.330190693,-1.134683045,0,100,0.72095614,-1.134683045,38,1,1.855639185
